Query,JD
Cashier,"Sprouts Farmers Market helping America eat healthier live longer and spend less.\r\n\r\n<p>Title:???????????????????????????????? <strong>Cashier?????????????????????? </strong>?????????????????????? </p><p>Location:?????????????????? Assigned Store </p><p>Reports to:???????????? Head Cashier</p><p>Status:?????????????????????????? Hourly, Non-Exempt?????????? </p><p>SOC:?????? ?????????????????????? 41-2011.00 - Cashiers?????????????????????????????? </p><br /><br /><b>Summary Description</b><br /><br /><p>The Cashier is responsible for processing sales quickly, accurately and efficiently while ensuring customer satisfaction through prompt and friendly service. Additionally, they are responsible for cash register operations and for safeguarding company assets.</p><br /><br /><b>Essential Job Functions</b><br /><br /><ul><li>Provides the highest level of prompt and friendly customer service; greets and thanks customers.</li><li>Maintains a positive work environment at the front end.</li><li>Scans orders accurately and efficiently; properly identifies produce items.</li><li>Correctly identifies items that do not scan and reports them properly.</li><li>Bags customer's groceries and takes them the customer's cars if necessary.</li><li>Collects carts from lot and surrounding area if needed.</li><li>Counts till prior to each shift and ensures security of drawer at all times.</li><li>Memorizes produce PLU codes and keeps up to date with new produce.</li><li>Accurately handles customer cash, credit/debit payments and change.</li><li>Assists customers by providing information and resolving their complaints.</li><li>Follows all front end procedures as outlined in the Cashier Manual.</li><li>Maintains knowledge of weekly ad items; gives customers direction of product location throughout the store.</li><li>Is familiar with events and seminars going on or coming up.</li><li>Maintains excellent communication with front end manager and Head Cashier at all times.</li><li>Communicates customer requests to management.</li><li>Assists with stocking shelves, facing and dusting when needed.</li><li>Ensures that checkout areas are properly maintained in a clean and orderly condition at all times. </li><li>Other related duties as assigned.</li></ul><br /><br /><b>Knowledge, Skills and Abilities</b><br /><br /><ul><li>1-2 years recent cashiering experience and a high school diploma or GED.</li><li>Requires strong attention to detail and proficiency with numbers; proficient in cash handling and mathematical skills; ability to read, write and count.</li><li>Excellent communication skills in order to ensure excellent customer service; outgoing and friendly.</li><li>Able to provide and receive constructive feedback.</li><li>Reliable and dependable; able to work a flexible schedule.</li><li>Ability to interact effectively at all levels and across diverse cultures.</li><li>Ability to solve practical problems.</li><li>Ability to perform repetitious activities; manual dexterity to scan or key groceries.</li><li>Excellent customer service skills and a positive attitude are essential to interact with customers and employees. </li><li>Ability to operate front end equipment; register, calculator, scanner.</li></ul><br /><br /><b>Physical Requirements</b><br /><br /><ul><li>Requires standing and walking for long periods of time.</li><li>Repetitive arm and hand movements; bending, carrying, and lifting.</li><li>Requires transferring product either horizontally or vertically of up to 30 pounds.</li><li>Requires moving grocery carts of up to 35 pounds.</li></ul><p>The above statements are intended to describe the general nature and level of the work being performed by people assigned to this work. This is not an exhaustive list of all duties, responsibilities, and requirements. Sprouts' management reserves the right to amend and change duties, responsibilities, and requirements to meet business and organizational needs as necessary.</p>"
Maintenance Technician,"<p>\r\n The Maintenance Technician is responsible for completing assigned maintenance work orders for residential customers by performing general maintenance and repair of appliances, buildings, and equipment.\r\n\r\n Performs wide variety of maintenance duties including but not limited to:\r\n\r\n ??????????\r\n\r\n Plumbing, Sewer lateral,?? Electrical,?? HVAC,?? Drywall,?? Painting,?? Fencing,??Glass repair,?? Screen repair,?? Roofing repair,?? Siding,?? Locksmith work,?? Interior door and trim repair or replacement,?? Exterior door and storm door repair or replacement ,?? Ceramic tile, sheet vinyl and vinyl compositiontile repair or replacement ,?? Stair and railing repair or replacement</p>\r\n<p>&nbsp;</p>\r\n<p>&nbsp;</p>"
Store Manager,"<strong>Category: </strong> ??Store Leadership\r\n \r\n Responsible for maximizing the storea??s sales, profit and customer service objectives through the effective management of store teammates. Ensures that store meets all operational and merchandising goals. Models Shopkoa??s commitment to providing exceptional customer service. Provides expertise and leadership direction for all loss prevention programs. MINIMUM KNOWLEDGE, EXPERIENCE & SKILLS REQUIREMENTS:??ก์ Bachelora??s degree in relevant business field or equivalent experience and 3 years of leadership experience in an equivalent big-box retail environment.??ก์ Proven ability to lead, coach and build teammate relationships in an environment of fast change; must be able to direct, and motivate a diverse teammate population.??ก์ Demonstrated ability to analyze and solve problems of varied scope; must be able to act decisively in implementing solutions.??ก์ Strong organizational skills for planning work and continuously monitoring progress towards goals.??ก์ Demonstrated ability to multi-task; ability to respond flexibly in a quickly changing environment.??ก์ Ability to analyze and synthesize financial reports.??ก์ Strong communication skills (both oral and written) for effective management of teams.??ก์ Must demonstrate an exemplary commitment to provide exceptional customer service.??ก์ General knowledge of and ability to operate a personal computer; working knowledge of Excel and Word and a scheduling tool such as Resource Management.ESSENTIAL FUNCTIONS & WORK REQUIREMENTS:??ก์ Must be able to move around the stock room and sales floor for extended periods.??ก์ Requires occasional lifting of up to 50 pounds.??ก์ Must demonstrate physical agility (bending, twisting, reaching, and pulling) for handling merchandise.??ก์ Must be able to plan, organize, execute all Company programs on-time and within the allowed expense guidelines, while teaching and expecting others to do the same.??ก์ Must be available to work early mornings, days, nights and weekends to meet the needs of the stores.These statements are intended to describe the general nature and level of work performed by teammates assigned to this job classification. They are not intended to be an exhaustive list of all responsibilities, duties and skills required.*HJ* *CB*"
Maintenance Technician,"<P><B><SPAN>ESSENTIAL FUNCTIONS :</SPAN></B><B> </B></P>\r<P><B><SPAN>?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? </SPAN></B>??</P>\r<P><B></B>??</P>\r<P><SPAN>1)?????????????????????????????????? </SPAN>Services equipment including lubrication, cleaning, interior and exterior painting and making minor repairs.</P>\r<P><SPAN>2)?????????????????????????????????? </SPAN>Operates company vehicle in performing routine duties including snow removal.</P>\r<P><SPAN>3)?????????????????????????????????? </SPAN>Inspects running equipment for problems.</P>\r<P><SPAN>4)?????????????????????????????????? </SPAN>Performs general building maintenance requiring basic skills in:?? plumbing, carpentry, painting, roofing and electricity.</P>\r<P><SPAN>5)?????????????????????????????????? </SPAN>Responds to facility fire and disaster situations immediately and assists per emergency plans.</P>\r<P><SPAN>6)?????????????????????????????????? </SPAN>Uses proper technique and personal protective equipment when utilizing machinery or other tools.</P>\r<P><SPAN>7)?????????????????????????????????? </SPAN>Assists on projects as assigned.</P>\r<P><SPAN>8)?????????????????????????????????? </SPAN>All other duties as assigned.</P>\r<P>??</P>\r<P><B></B>??</P>\r<SPAN>OTHER FUNCTIONS :</SPAN>\r<P><SPAN>?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? </SPAN>??</P>\r<P><SPAN>Must be available for on call hours in case of emergency situations and snow removal.</SPAN></P>"
Store Manager,"<DIV>This could be just the place to start your career in retail management. As a Store Manager, your Starbucks store will be an important part of the local community. You'll help your store partners make connections with the customers they see every day. You'll lead your store's operations, staffing, customer satisfaction, product quality, financial performance and team development. ??Best of all, you'll help your team create a welcoming environment. Starbucks is consistently rated as a great place to work and the people here love what they do.</DIV>\r\n<DIV>??</DIV>\r\n<DIV><B>Summary of Key Responsibilities<BR/>\r\n</B><BR/>\r\nResponsibilities and essential job functions include but are not limited to the following:<BR/>\r\nLeadership - Setting goals for the work group, developing organizational capability, and modeling how we work together:</DIV>\r\n<ul><LI>Demonstrates a calm demeanor during periods of high volume or unusual events and manages smooth transitions thereafter to keep store operating to standard and to set a positive example for the store team.</LI>\r\n<LI>Displays a 'customer comes first' attitude by training and holding partners accountable for delivering legendary customer service.</LI>\r\n<LI>Drives the implementation of company programs by developing action plans and directly motivating and instructing the store team to implement them to meet operational and organizational objectives.</LI>\r\n<LI>Manages with integrity, honesty and knowledge that promote the culture, values and mission of Starbucks.</LI>\r\n<LI>Plans, identifies, communicates, and delegates appropriate responsibilities and practices to store partners to ensure smooth flow of operations.</LI>\r\n<LI>Provides coaching and direction to the store team to take action and to achieve operational goals. Constantly reviews store environment and key business indicators to identify problems, concerns, and opportunities for improvement to provide coaching and direction to the store team to achieve operational goals.</LI>\r\n</UL>\r\n<DIV>Planning and Execution - Developing strategic and operational plans for the work group, managing execution, and measuring results:</DIV>\r\n<ul><LI>Monitors and manages store staffing levels to ensure partner development and talent acquisition to achieve and maintain store operational requirements.</LI>\r\n<LI>Utilizes existing tools to identify and prioritize communications and regularly uses discretion to filter communications to the store team. Communicates clearly, concisely and accurately in order to ensure effective store operations.</LI>\r\n</UL>\r\n<DIV>Business Requirements - Providing functional expertise and executing functional responsibilities:</DIV>\r\n<ul><LI>Ensures adherence to applicable wage and hour laws for nonexempt partners and minors.</LI>\r\n<LI>Solicits customer feedback to understand customer needs and the needs of the local community.</LI>\r\n<LI>Uses all operational tools to plan for and achieve operational excellence in the store. Tools include Automated Labor Scheduling, Monthly Status Report, Quarterly Business Review, cash management and inventory management.</LI>\r\n<LI>Uses discretion in accessing external resources to support store operations and to execute district and regional initiatives. Resources include Partner Resources, Marketing, Partner & Asset Protection, Food & Beverage, Coffee, and Retail Implementation departments.</LI>\r\n<LI>Utilizes management information tools and analyzes financial reports to identify and address trends and issues in store performance.</LI>\r\n</UL>\r\n<DIV>Partner Development & Team Building - Providing partners with coaching, feedback, and developmental opportunities and building effective teams:</DIV>\r\n<ul><LI>Actively manages store partners by regularly conducting performance assessments, providing feedback, and setting challenging goals to improve partner performance. Manages ongoing partner performance using performance management.</LI>\r\n</UL>"
Java Developer,"<P><B>CapTech </B>is currently searching for <B>Java Developers</B> to join their team in<B> Philadelphia, PA, Washington, DC,??</B>and/or<B> Charlotte, NC.</B>?? CapTech is an information technology consulting firm that manages, designs and integrates systems. With practice areas in IT management consulting, systems integration and data management, our consultants work on projects and programs across a range of industries.</P>\r<P>??</P>\r<P><SPAN style=""TEXT-DECORATION: underline"">These positions can be located in Philadelphia, PA, Washington, DC, and/or Charlotte, NC.?? Candidates must be able to relocate to either of these positions.?? Relocation assistance is available for qualified candidates.?? </SPAN></P>\r<BR>\r<P><B>ABOUT CAPTECH:</B></P>\r<P><SPAN>Despite the serious nature of our projects, we maintain a light hearted and employee focused corporate culture. We value our employees and actively participate in the local community. </SPAN></P>\r<P><SPAN>??</SPAN>??</P>\r<P><SPAN>CapTech strives to balance intense, mission-critical consulting with fun and camaraderie. While our people have their own individual outlets, we have a tradition of providing organized team building and social activities for our employees. In addition to regular corporate functions and events, we support softball, baseball, biking and running teams.?? Managers also organize smaller outings for their functional teams. Recent examples include Segway tours, a deep sea fishing trip and cooking classes. ??<BR>\r<BR>\rCapTech employees are also active participants in the communities they serve. The firm and its employees have a long history of supporting philanthropic and economic development activities. This community involvement consistently ranks high in employee surveys of factors that attract new employees to CapTech and that help us maintain a high retention rate for a full-service information technology consulting firm.??</SPAN></P>"
Senior Accountant,"<b>Responsibilities:</b> A global engineering, procurement, and construction company is looking for a bilingual Accountant to join their group.\r\n\r\nThis position will be responsible for the following:\r\n<UL><LI>Prepare Monthly Financials Statements with Forecasts</li>\r\n<li>Prepare QTR Schedules and Reports</li>\r\n<li>Foreign Cash Balances</li>\r\n<li>G/L Account Reconciliations</li>\r\n<li>Month-end closing process functions</li>\r\n<li>Cash needs for Chile and Peru</li>\r\n<li>Cash funding entries</li>\r\n<li>Cash receipts</li>\r\n<li>Inter-company confirmations</li>\r\n<li>SFAS109 returns</li>\r\n<li>Research Tax laws / issues in foreign countries as required and needed</li>\r\n</ul>\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~WQG~1128141P1~99"
Java Developer,"<p><b>CapTech </b>is currently searching for <b>Java Developers</b> to join their team in<b> Philadelphia, PA, Washington, DC,&nbsp;</b>and/or<b> Charlotte, NC.</b>&nbsp; CapTech is an information technology consulting firm that manages, designs and integrates systems. With practice areas in IT management consulting, systems integration and data management, our consultants work on projects and programs across a range of industries.</p>\r<p>&nbsp;</p>\r<p><span style=""text-decoration: underline"">These positions can be located in Philadelphia, PA, Washington, DC, and/or Charlotte, NC.&nbsp; Candidates must be able to relocate to either of these positions.&nbsp; Relocation assistance is available for qualified candidates.&nbsp; </span></p>\r<br>\r<p><b>ABOUT CAPTECH:</b></p>\r<p><span>Despite the serious nature of our projects, we maintain a light hearted and employee focused corporate culture. We value our employees and actively participate in the local community. </span></p>\r<p><span>&nbsp;</span></p>\r<p><span>CapTech strives to balance intense, mission-critical consulting with fun and camaraderie. While our people have their own individual outlets, we have a tradition of providing organized team building and social activities for our employees. In addition to regular corporate functions and events, we support softball, baseball, biking and running teams.&nbsp; Managers also organize smaller outings for their functional teams. Recent examples include Segway tours, a deep sea fishing trip and cooking classes. &nbsp;<br>\r<br>\rCapTech employees are also active participants in the communities they serve. The firm and its employees have a long history of supporting philanthropic and economic development activities. This community involvement consistently ranks high in employee surveys of factors that attract new employees to CapTech and that help us maintain a high retention rate for a full-service information technology consulting firm.&nbsp;</span></p>"
Project Manager,"<B>Mosaic</B> Sales Solutions is a full-service marketing agency that delivers successful brand experiences for various high profile clients directly to the people who buy them.?? Ad Age recently??included us??in their <I>Best Places to Work in Marketing and Media</I> list, and we are about to expand our team!??<BR> ??<BR> We are currently looking for a <B>?-?-?-?-?-?-?-?-?-?-?-Project Manager (Business Intelligence)??</B>to join our innovative, growing company.<BR> ??<BR> The ideal candidate will have significant??abilities in??creating clear and precise expectations on project scope, setting timelines, track accountability of the deliverables and lead project teams to success.?? They will??possess substantial??experience??in leading a team of business leaders through the collaboration process??utilizing the appropriate IT tools necessary to perform a function.?? The top candidate will??have proven leadership skills that include??conflict resolution??abilities, facilitate decision making and strong motivational??skills necessary to drive a??successful team.?? Previous experience in leading the creation of an application roadmap is required.<BR> ??<BR> Additionally, the ?-?-?-?-?-?-?-?-?-?-?-?-Project Manager will report directly to the??Project Management Office Director, and will office at our company headquarters in Irving, TX (near Dallas).<BR> ??<BR> The??Project Manager??will:<BR> <ul> <LI>Facilitate the gathering of common requirements across various business unit leaders</LI> <LI>Responsible for the execution and implementation of multiple concurrent projects</LI> <LI>Drive the creation of business case justification as a guide to the prioritization of projects</LI> <LI>Work with IT leaders and business leaders to create project plans</LI> <LI>Manage projects throughout the entire project lifecycle (from initiation to closeout)</LI> <LI>Manage initiatives so that projects are completed on time/on budget</LI> <LI>Identify and communicate project risks to the project team and business leaders</LI> <LI>Collaborate directly with the software development teams and business owners</LI> </UL>"
Project Manager,"<b>Responsibilities:</b> Our client, located in New York, New York, is seeking a Project Manager. This is a temporary 6 month role! This position is for basic project management responsibilities. Main responsibilities will be to schedule and facilitate meeting, take minutes, document issues/risks, follow up on issues/risks\r\n\r\nMain Duties:\r\n<UL><LI>Prepare or provide input into reporting</li>\r\n<li>Manage all phases of project development and implementation by ensuring that business deliverables are completely satisfied, on time and within budget</li>\r\n<li>Produce reports on assigned deliverables to keep management apprised of project status, major issues, scope changes, resource changes and milestone achievements or misses</li>\r\n<li>Escalate issues as required to the appropriate project teams, business or counterparts</li>\r\n<li>Analyze problems in terms of process and/or functionality; generate data, communicate and implement recommended solutions</li>\r\n<li>Measure and report on the success and challenges of the program/project using metrics that can be clearly understood throughout the company</li>\r\n<li>Document and communicate project status to the project team and/or management</li>\r\n<li>Focuses on the management of projects within one or multiple areas</li>\r\n<li>Meet with business and/or functional management to discuss and respond to their needs for project management and/or operational support, Develop related plans</li>\r\n<li>Provide professional coordination and leadership in the execution of day to day program/project activities as appropriate to program objectives and area of expertise</li>\r\n</ul>\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~AQG~1142225T1~99"
Physical Therapist,"Full-Time Physical Therapist <br />\rWork Schedule: Friday through Monday<br />\r<br />\rSullivan Park Care Center<br />\rE. 14820 4th Ave.<br />\rSpokane, Washington 99216<br />\rwww.prestigecare.com<br />\r<br />\rOn-call PT, PTA, OT, COTA and SLP help always needed for weekdays and weekends!<br />\r<div style=""text-align: center;"">&nbsp;</div>\r<h2><hr>\rPhysical Therapist Job Description</h2>\rInfinity Rehab is looking for a full-time Physical Therapist who is clinically driven and self-motivated for this 125 Bed Skilled Nursing Facility. You will work with a multi-disciplinary therapy department that offers sub-acute, inpatient and outpatient therapy to patients with conditions such as hip fractures, neurological, Alzheimera??s and/or orthopedic. This therapy team is fun, enthusiastic, knowledgeable, helpful and friendly a?? perfect for a new graduate. Help this therapy department grow the therapy programs at Sullivan Park. The therapy room has been completely remodeled which now offers a new large therapy gym and therapy offices. <br />\r<h2>Physical Therapist Career</h2>\r<p>\rInfinity Rehab is interested in working with therapists who desire to make a difference. We hire therapists who: value sustained growth and stability, are interested in receiving continuing education and mentorship, desire autonomous therapy within a team of skilled clinicians, and have integrity and a passion to improve the quality of care in a skilled rehab setting. </p>\r<p>&nbsp;</p>\r<h2>Physical Therapist Benefits</h2>\r<p>Infinity Rehab offers competitive hourly rates, time-and-a-half for holidays, a generous Paid Time Off Program, Medical, Dental, Vision, Life Insurance, Flexible Spending Accounts, 401K plan, Liability Insurance, Supplemental Insurance, Continuing Education, Annual Education Symposium, Length of Service Awards and an Annual Employee Appreciation Event. Benefits offered vary from Full-Time, Part-Time, Committed Per Diem and On-Call Employees. Please call an Infinity Rehab Recruiter for more details on this position and information on Infinity Rehab Benefits.</p>\r<div style=""text-align: center;"">\r<hr>\rIf this describes you, take a closer look at Infinity Rehab!<br />\rTodaya??s the Day, Join Our Team!<br />\rwww.InfinityRehabJobs.com<br />\r<br />\rContact:<br />\rSara Bellone | Washington Regional Recruiter<br />\rsabellone@infinityrehab.com | Direct line: 503-783-2482 | Cell Phone: 253-468-7069<br />\r</div>"
Java Developer,"<b>Responsibilities:</b> Our client is currently seeking a Java Developer.\r\n\r\nResponsibilities\r\n<UL><LI>Experience in installation, configuration, administration and implementations of OAM, OIM</li>\r\n<li>Design and Develop Single Sign On (SSO) solution using OAM</li>\r\n<li>Design and Develop Identity Management architecture using OIM involving Identity Administration, Password Management and Account Request Workflow</li>\r\n<li>Design and Develop SSO solution using Identity Federation</li>\r\n<li>Design and Develop integration solutions with OIM using integration connectors, services and API</li>\r\n<li>Understand and review functional/ nonfunctional requirements</li>\r\n<li>Provide strong technical and architectural leadership by providing technical direction using OIM and OAM</li>\r\n<li>Partner with other team members to troubleshoot issues and ensure operational readiness as it relates to integration with upstream and downstream systems</li>\r\n</ul>\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~AQG~1145391T1~99"
Financial Analyst,"<b>Responsibilities:</b> This position reports to the Cost Accounting Supervisor and assists with the FP&A and accounting requirements of the branch Operations. This position in Providence, Rhode Island is also responsible for supporting the divisional R&D function.\r\n\r\nGeneral responsibilities:\r\n<UL><LI>Participate in annual budget and monthly forecasting processes</li>\r\n<li>Participate in due diligence exercises for mergers and acquisitions</li>\r\n<li>Balance sheet account analysis and reconciliation to the General Ledger</li>\r\n<li>Inventory reporting and analysis</li>\r\n<li>Assist with physical inventory</li>\r\n<li>Assist in the preparation of year-end corporate reporting requirements-Annual Report, Tax Package and 10-K Package</li>\r\n<li>Fixed Asset reporting and analysis</li>\r\n<li>Participate on Project Teams as assigned</li>\r\n<li>Ensure compliance with corporate financial policies</li>\r\n<li>Ensure compliance with Sarbanes-Oxley requirements</li>\r\n</ul>\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~EQG~1148294P1~99"
